date,Luxury,Prestige,Masstige,Mass
2021-12-31,152.06754367181924,53.96147166334881,44.97854915476687,151.91952166102874
2022-01-31,160.35164344866115,63.73934573317389,48.19768420283142,173.1003991871784
2022-02-28,167.6159110718155,68.33490037273391,51.71547057654598,182.78198407583028
2022-03-31,174.8892210377248,58.52536464863599,51.461430615546426,183.6868697413591
2022-04-30,171.41826956003285,53.916014496133236,52.957595341896784,178.05557111544852
2022-05-31,171.70028408457102,54.458433744328886,53.55617877820081,176.9233302780951
2022-06-30,174.59604199975598,61.941443598579276,58.24521119490872,177.16434202566677
2022-07-31,184.7842403490896,52.95775963192174,52.346405021721466,167.71403962954307
2022-08-31,179.80838688870747,49.88352789143239,54.14508644639188,164.40794932541064
2022-09-30,165.443664393217,52.66395084658502,49.6568216983377,179.58426272072637
2022-10-31,166.36012189648704,54.74506973893741,51.97746743843237,179.754765075173
2022-11-30,163.47556833310222,56.879714201132856,52.63715656458931,175.90566953758776
2022-12-31,159.73572448494588,56.05052474292926,53.26767528505766,170.0255860594998
2023-01-31,168.10597650535595,55.57447597052642,55.44436288088351,180.66235044544132
2023-02-28,170.60811960117442,58.60943336798905,58.78888006993779,179.85457751148166
2023-03-31,167.88189583490697,65.15939915559572,59.44352278972396,181.19757203236242
2023-04-30,172.86684479281126,58.50834851377588,62.42341440757134,176.40516250606387
2023-05-31,170.42258926792312,58.81473473839388,61.111180148234666,179.46719253258905
2023-06-30,173.10094710393378,62.3581823442573,59.352231581771676,181.95764660398348
2023-07-31,184.61097298887017,59.16778554695011,59.476413032278984,173.4490916164774
2023-08-31,179.83073729964246,56.30441189448185,60.6031022058864,166.76394396157184
2023-09-30,166.3067046460034,60.64882087515331,55.558722461760894,177.65709840196146
2023-10-31,164.08722428265588,61.84118109911924,57.4187109205714,176.8121917077801
2023-11-30,166.49485369060483,74.33843610116442,60.028901573150364,190.82831219328907
2023-12-31,166.6607574719671,73.92910667683554,58.896119494788294,176.79982303982004
2024-01-31,165.9552432011979,66.83929216688605,58.36129170411337,182.3679176615347
2024-02-29,173.7750474778893,69.5536216217421,62.76844100618019,184.48390147046965
2024-03-31,171.1013987541058,64.76631088506073,60.780688035995226,178.41728627578846
2024-04-30,167.75921573872355,56.93961560462755,60.77434703651247,175.93146416829387
2024-05-31,168.23239947194776,59.6639705608283,60.365355164276195,174.69230490145014
2024-06-30,165.7609051626385,59.131786028647525,57.499851716984246,174.40243074280562
2024-07-31,174.92469133709605,54.9910158210325,54.74956660185043,167.6022065627613
2024-08-31,173.55742225200623,54.88968784439848,55.88694563474611,160.4443780825851
2024-09-30,162.31123332412375,62.24472891317235,52.32856089696179,175.92003234506075
2024-10-31,155.68435517859766,58.05788779012175,51.55375763579988,173.24356256234523
2024-11-30,158.6608663404875,65.9167172472776,54.948554288725674,177.7257437460019
2024-12-31,159.24861801624752,63.88920969764297,56.64433004341208,177.29020094527408
2025-01-31,159.2143741933167,59.198282721550854,55.650155959637814,177.77793195682375
2025-02-28,160.21170356013226,64.90334304400795,59.7337872773952,177.03848020388682
2025-03-31,161.41738934925283,59.802809834626586,61.50616480926698,176.1744723427166
2025-04-30,161.52989280657994,56.60885124809973,62.78811661189534,175.74427776734075
2025-05-31,161.64713126604582,57.357668498039104,60.456459477095265,180.45499831420068
2025-06-30,164.33960473285435,56.27513913593366,66.43217160120312,172.8108238326312
2025-07-31,173.11384761381822,54.44511985001802,61.196837122475536,169.86624133545897
2025-08-31,171.71323371071577,53.156967982663126,62.25276067217732,168.44768206806043
2025-09-30,155.60706288507618,56.189762177498345,54.950397082058224,177.47177135395714
2025-10-31,155.11228777085884,53.65656997520327,60.581890441124514,173.55137496958463
2025-11-30,166.37134222431786,67.77969433490823,81.26567386153451,189.08417797172993
2025-12-31,164.98663654588427,62.6327689556302,74.44573323147878,180.44980602602905
