tier,Weighted_Sentiment,Mean_Sentiment,Comment_Count
Luxe,0.47113767023355224,0.45129102978224633,1012.0
Prestige,0.307130556120228,0.4621513423285843,683.0
Masstige,0.3493920887663118,0.3590718416798462,937.0
Mass,0.0028267060138637123,0.3181338615649411,956.0
